,AAPL,ADA,AMZN,BNB,BTC,ETH,GOOGL,MSFT,TSLA,XRP
,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return
2018-05-15,,10.204541795387643,,120.3244139860985,5.774715186817815,7.983760320639276,,,,7.987053266856235
2018-05-16,,9.654199260874874,,117.11435918869708,5.62622989388067,7.713390690163868,,,,7.507926859525477
2018-05-17,,9.534775943145085,,114.2125764091888,5.539762669382844,7.70568380369845,,,,7.6842895454338445
2018-05-18,,9.071121922238566,,116.32185497240866,5.349149335746233,7.3017190057865164,,,,7.183086209033393
2018-05-19,,9.02418813750379,,140.96068187747363,5.446604812922522,7.527537895274785,,,,7.317311888884154
2018-05-20,,8.931950380578215,,132.05276078295066,5.431865268403265,7.523517346895728,,,,7.2582577991840385
2018-05-21,,9.477688491578606,,130.58619839948656,5.606251455578784,7.720619544839743,,,,7.514715838001111
2018-05-22,,9.240378726953677,,137.3390276472115,5.547644986100313,7.557155502094728,,,,7.324918989629298
2018-05-23,,8.360933663957795,,129.23141948534115,5.318105294668577,7.032663761893215,,,,6.947887383901183
2018-05-24,,7.478349860386198,,117.75878015330838,5.017328209790946,6.376028078734716,,,,6.473967846360116
2018-05-25,,7.752041079179709,,121.28747488339054,5.022055444498656,6.558207908495535,,,,6.801749039437945
2018-05-26,,7.48240295290474,,120.15483806628265,4.9613580971208835,6.387416777911617,,,,6.587294113780897
2018-05-27,,7.3167241691235745,,118.74693524527741,4.8663071249079906,6.36771604437297,,,,6.594040089456202
2018-05-28,,7.205125243320591,,117.17036463609901,4.86482792876187,6.208026123765956,,,,6.532735763847792
2018-05-29,,6.5121068451560085,,110.09824561771974,4.7216879911925185,5.612260944426131,,,,5.943024961457859
2018-05-30,,7.569969970652875,,117.179361786974,4.947552546124678,6.162113600981445,,,,6.476987574284192
2018-05-31,,7.897707740400923,,116.94458786691817,4.900821315893857,6.092000795708901,,,,6.51881654218858
2018-06-01,,8.357342053294605,,132.08347373646055,4.953486047262208,6.271661754100026,,,,6.60320625882969
2018-06-02,,8.26993972234492,,132.6763224439857,4.971353624999575,6.294768687396102,,,,6.706464920968086
2018-06-03,,8.441265937259423,,135.54821245136057,5.024762850601858,6.396765717276234,,,,6.903880756446242
2018-06-04,,8.434973076405166,,135.82036324769413,5.072813583298682,6.68376576566055,,,,7.313064649765278
2018-06-05,,7.961059269237585,,132.5333655094722,4.955802079292126,6.434548979720069,,,,7.127562148129421
2018-06-06,,8.170471353056532,,144.67434674297252,5.0257577766897645,6.589246688174148,,,,7.277717663821443
2018-06-07,,8.018065187300081,,159.99348128601721,5.050038045777922,6.562237362611408,,,,7.251360791267933
2018-06-08,,7.793730043568846,,151.07316262583925,5.055482047319962,6.528341523770697,,,,7.273496735896782
2018-06-09,,7.611955564571781,,150.54555409902756,5.02054860590675,6.477573908011854,,,,7.23956826349067
2018-06-10,,7.453972694177277,,146.8272579525241,4.923496500293979,6.37471239348288,,,,7.045596565086595
2018-06-11,,6.593526767187755,,131.52605460230976,4.49356086758515,5.737119543839443,,,,6.307024456798565
2018-06-12,,6.742788216507062,,143.74947200385796,4.568348974150703,5.804394280977423,,,,6.513709074691536
2018-06-13,,6.189578504530304,,142.49453140870224,4.3702766647476965,5.430827702762637,,,,6.072071717746083
2018-06-14,,5.982444336794689,,136.5918946952332,4.2057866487190925,5.2090510796104255,,,,5.762861285210463
