date,BTC,ETH,LTC,XRP,ADA,AAPL,MSFT,AMZN,TSLA,GOOGL
00:00.0,9831.40293,484.3626242,91.99766819,0.253946,0.050469038,174.09,83.87,1195.83,316.81,1072.01
00:00.0,10257.06742,474.1828947,97.46898886,0.298582,0.120725683,173.07,84.88,1193.6,317.55,1063.29
00:00.0,9875.892308,428.3454433,85.84395412,0.240521,0.09263587,169.48,83.34,1161.27,307.54,1037.38
00:00.0,10406.18772,454.1609815,90.51631207,0.250447,0.124064711,171.85,84.17,1176.75,308.85,1036.17
00:00.0,10995.72355,469.8634796,99.62115771,0.255387,0.13084911,171.05,84.26,1162.35,306.53,1025.07
00:00.0,11162.54503,469.8570505,101.3360772,0.255487,0.135290046,,,,,
00:00.0,11256.70183,461.8804819,101.0434993,0.251969,0.131928545,,,,,
00:00.0,11634.98496,472.2527355,103.4586735,0.252982,0.13631823,169.8,81.08,1133.95,305.2,1011.87
00:00.0,12174.25374,467.016663,105.5040826,0.245933,0.131266071,169.64,81.59,1141.57,303.7,1019.6
00:00.0,13876.47358,448.3282222,97.66539131,0.23525,0.128998006,169.01,82.78,1152.35,313.26,1032.72
00:00.0,18491.18155,451.8255819,102.9308086,0.222823,0.113499776,169.32,82.49,1159.79,311.24,1044.57
00:00.0,16908.00495,467.8816626,126.3870055,0.251643,0.11977111,169.37,84.16,1162,315.13,1049.38
00:00.0,15266.42639,482.0355189,156.1024453,0.244248,0.12206968,,,,,
00:00.0,15808.5099,446.6910581,151.3237753,0.238779,0.11075318,,,,,
00:00.0,17106.50515,509.0008762,218.5143091,0.250616,0.120168305,172.67,85.23,1168.92,328.91,1051.97
00:00.0,17249.92021,661.8413323,320.9074113,0.379427,0.133573902,171.7,85.58,1165.08,341.03,1048.77
00:00.0,16525.04449,709.8831936,305.2770423,0.478039,0.134376502,172.27,85.35,1164.13,339.03,1051.39
00:00.0,16865.36166,704.6218437,277.6599948,0.865028,0.217011359,172.22,84.69,1174.26,337.89,1057.47
00:00.0,17978.63056,693.0970641,303.1061081,0.76057,0.217634409,173.97,86.85,1179.14,343.45,1072
00:00.0,19665.39493,702.2446128,300.8120156,0.762863,0.408204448,,,,,
00:00.0,19423.58015,728.7004712,322.5187839,0.729334,0.475589483,,,,,
00:00.0,19188.05396,798.115404,360.6617617,0.776894,0.506894865,176.42,86.38,1190.58,338.87,1085.09
00:00.0,18174.18676,829.9892018,355.4989451,0.792545,0.547831246,174.54,85.83,1187.38,331.1,1079.78
00:00.0,17059.88835,813.4036023,310.1493566,0.774137,0.492296744,174.35,85.52,1177.62,328.98,1073.56
00:00.0,16355.23823,812.8851591,315.1519773,1.15914,0.497934078,175.01,85.5,1174.76,331.66,1070.85
00:00.0,14084.82493,669.2764923,261.5298603,1.10586,0.414617119,175.01,85.51,1168.36,325.2,1068.86
00:00.0,15241.91647,715.7190683,288.0831029,1.17695,0.43637378,,,,,
00:00.0,14451.11455,686.2083089,278.4641352,1.0328,0.406643145,,,,,
00:00.0,14302.75371,733.9025459,270.8673658,1.12038,0.424664377,,,,,
00:00.0,16616.68206,774.1101981,294.9908353,1.18401,0.44975688,170.57,85.4,1176.76,317.29,1065.85
00:00.0,16373.08108,764.967062,271.5379785,1.40645,0.430559657,170.6,85.71,1182.26,311.64,1060.2
00:00.0,15067.8995,736.840047,254.0390847,1.43294,0.429505402,171.08,85.72,1186.1,315.36,1055.95
00:00.0,15096.55944,755.3436413,248.0700881,2.20813,0.545309044,169.23,85.54,1169.47,311.35,1053.4
00:00.0,13620.36187,736.9091915,223.4003252,2.17644,0.678579291,,,,,
00:00.0,14839.59079,774.6962555,237.5714162,2.28004,0.767634604,,,,,
00:00.0,14093.60683,776.0803304,230.4621203,2.31012,0.747140424,,,,,
00:00.0,15321.93285,876.8902588,255.048185,2.45529,0.807430251,172.26,85.95,1189.01,320.53,1073.21
00:00.0,15583.88554,963.0557507,248.0421936,3.12571,1.075401101,172.23,86.35,1204.2,317.25,1091.52
