date,BTC,ETH,BNB,XRP,ADA
21/01/2018,11703.50486,1053.633202,14.40164576,1.38127,0.629033082
22/01/2018,10991.59501,1000.387133,13.18340821,1.30411,0.581351169
23/01/2018,10894.00091,991.6653206,13.16548379,1.34234,0.564850862
24/01/2018,11277.11597,1056.879233,13.55562432,1.33309,0.624877633
25/01/2018,11225.25446,1059.315496,13.24126293,1.30965,0.639638327
26/01/2018,11044.90724,1048.798906,13.07623699,1.21336,0.620601025
27/01/2018,11456.21351,1095.782514,13.33804992,1.23119,0.625463722
28/01/2018,11665.69693,1237.324176,13.50932509,1.41666,0.630576366
29/01/2018,11157.66389,1169.634257,12.71430197,1.31967,0.592470718
30/01/2018,,1161.908643,,,
30/01/2018,,,,1.31231,
30/01/2018,,,12.73046792,,
30/01/2018,11095.21069,,,,
30/01/2018,,,,,0.587949207
31/01/2018,9989.689777,1058.096053,11.19699598,1.13747,0.501716569
1/02/2018,10114.49509,1106.138172,11.0608843,1.14397,0.49946191
2/02/2018,9070.555449,1021.269379,9.325947143,0.958196,0.411920052
3/02/2018,8830.16351,914.6388425,9.740629328,0.896766,0.399902847
4/02/2018,8994.914866,941.8032295,9.507364513,0.919951,0.448042725
5/02/2018,8315.517491,834.8891703,8.515278039,0.840231,0.395065099
6/02/2018,6852.052701,684.3133397,6.713520258,0.692773,0.310011618
7/02/2018,7711.220329,785.7389155,8.377819427,0.779269,0.359975823
8/02/2018,,,,0.732428,
8/02/2018,,,8.109465513,,
8/02/2018,,,,,0.330254868
8/02/2018,,751.8878894,,,
8/02/2018,7611.610278,,,,
9/02/2018,8208.572084,807.8227505,4.577203302,0.777794,0.34237167
10/02/2018,8650.71675,871.3268829,9.74711777,0.929139,0.377246007
11/02/2018,8574.677638,854.3498784,9.275482403,1.08609,0.384454868
12/02/2018,8168.63778,817.2905244,8.831167963,1.0132,0.355157692
13/02/2018,8911.398574,862.7487726,9.278863139,1.09286,0.371920834
14/02/2018,8518.269076,833.7791837,8.922887309,1.02514,0.354757442
15/02/2018,9428.025607,915.076543,10.39777904,1.14767,0.38574353
16/02/2018,10112.58014,928.2935214,10.87209362,1.14836,0.390910439
17/02/2018,10155.27706,934.6767105,10.91078934,1.14125,0.390762138
18/02/2018,11006.64769,964.2765079,11.68794924,1.21041,0.414755377
19/02/2018,10523.42931,915.0920469,10.79737421,1.12868,0.368804123
20/02/2018,11103.09004,928.2902425,11.00755826,1.14499,0.373664983
21/02/2018,11502.37705,902.9690554,10.39217324,1.09852,0.35618085
22/02/2018,9973.59212,809.1296597,8.948698171,0.949136,0.315484416
23/02/2018,10032.86311,812.4468626,8.990992574,0.95568,0.317349515
24/02/2018,10301.88361,864.6697536,9.765010876,0.999782,0.325494177
25/02/2018,9742.62819,828.723399,9.154054872,0.949314,0.302825129
26/02/2018,9699.517182,842.6280248,9.427560659,0.95122,0.332057867
27/02/2018,10355.57813,863.6502752,9.827892247,0.961025,0.328590659
28/02/2018,10709.38843,869.2632438,10.70128795,0.953311,0.330088551
1/03/2018,10346.66493,846.3652118,10.44710512,0.90914,0.305806234
2/03/2018,10859.55219,855.6787797,10.41565517,0.931663,0.299829345
3/03/2018,11098.07581,850.4429896,10.26167857,0.914247,0.291411134
4/03/2018,11356.0416,844.2552535,10.13112365,0.904932,0.289739933
5/03/2018,11286.67629,843.7565763,10.10926445,1.01533,0.296097288
6/03/2018,11526.42093,840.1509955,10.06784874,0.957767,0.295174086
7/03/2018,10727.71625,808.4491332,9.388341308,0.916863,0.278342815
8/03/2018,9999.682486,752.5931712,9.031123736,0.876384,0.244571878
9/03/2018,9420.85489,699.1898985,8.339594269,0.827276,0.215738896
10/03/2018,9276.33759,710.8916533,8.06142897,0.845867,0.211249782
11/03/2018,8890.865804,684.9343401,7.756667395,0.802784,0.20501892
12/03/2018,9512.456113,713.19533,8.288910981,0.831416,0.219994536
13/03/2018,9232.70588,695.314203,8.102033233,0.8032,0.224542177
14/03/2018,9216.530976,684.6415844,10.36068081,0.788572,0.221590155
15/03/2018,8307.223386,608.3931488,8.972114678,0.700401,0.200277115
16/03/2018,8359.365283,612.4435397,9.124667175,0.703766,0.187343023
17/03/2018,8520.008159,607.8794875,9.320833649,0.697978,0.182067907
18/03/2018,8063.409792,560.1094331,9.19048402,0.648311,0.158040122
19/03/2018,8217.8422,538.6905901,8.961811969,0.661157,0.156052591
20/03/2018,8640.52143,555.0775482,8.853623883,0.73457,0.19463663
21/03/2018,8926.820496,554.209826,9.162013027,0.70411,0.203756355
22/03/2018,8970.317906,561.1465342,10.03116544,0.691842,0.215881961
23/03/2018,8736.385769,537.7059724,10.09021995,0.660199,0.20377531
24/03/2018,8824.592832,538.1090292,11.70723943,0.637919,0.189287565
25/03/2018,8621.150792,519.4855998,13.23591246,0.64259,0.189116888
26/03/2018,8478.638196,519.3780446,12.74766042,0.642111,0.184856169
27/03/2018,8186.196063,487.5396121,12.09902186,0.600615,0.167805123
28/03/2018,7836.763044,449.0522525,11.48278509,0.579457,0.155675161
29/03/2018,7930.779541,443.949101,11.61532079,0.578339,0.159902712
30/03/2018,7126.895193,385.3270957,10.21028229,0.512946,0.146256325
31/03/2018,6897.268578,395.3262633,10.46118857,0.509616,0.146720901
1/04/2018,6975.275314,395.796381,11.11551088,0.51199,0.155531961
2/04/2018,6836.572327,379.1235134,11.13687924,0.485634,0.151644766
3/04/2018,7080.417232,384.8259823,12.68093312,0.499772,0.156503169
4/04/2018,7464.356094,415.716234,13.2169836,0.560281,0.172862103
5/04/2018,6845.315978,380.2819596,12.26263754,0.502687,0.155692402
6/04/2018,6855.422305,384.4644854,12.53762114,0.498358086,0.15018647
7/04/2018,6628.754456,369.9138977,12.30435159,0.475235074,0.144386983
8/04/2018,6884.477235,383.4463609,12.40038186,0.487961015,0.148131517
9/04/2018,6984.808966,396.9817555,12.06048743,0.499124735,0.156219915
10/04/2018,6778.49157,398.773355,11.88788293,0.492436722,0.153217781
11/04/2018,6829.316504,412.6893456,12.02286645,0.492965905,0.156458617
12/04/2018,6925.101995,427.384946,12.13922299,0.540384642,0.165810902
13/04/2018,7836.396994,488.6054893,12.79993173,0.625222679,0.212850549
14/04/2018,7845.75284,488.9921813,13.41731272,0.635036283,0.198932458
15/04/2018,7897.719931,495.1129136,13.08658206,0.63094825,0.199546577
16/04/2018,8258.067084,525.5274445,12.95918326,0.679873266,0.221055386
17/04/2018,8030.999262,507.1103131,12.18461113,0.663044296,0.256204732
18/04/2018,7873.63551,498.4670076,11.74157528,0.656574851,0.243462641
19/04/2018,8097.418233,517.3740432,12.21801502,0.705349644,0.260517557
20/04/2018,8277.460639,566.3920839,12.37172384,0.789901238,0.272510943
21/04/2018,8499.450009,590.2719225,12.30210576,0.930385185,0.294378768
22/04/2018,8878.42826,600.2596768,13.28982922,0.872205703,0.291419684
23/04/2018,8769.011999,617.2024079,12.85276706,0.869246994,0.284207807
24/04/2018,8881.391704,636.3671639,13.56052284,0.875024745,0.287600513
25/04/2018,9716.489757,705.0276448,15.24143947,0.940198086,0.313285804
26/04/2018,8825.2025,613.7267253,13.34297221,0.795300256,0.269822322
27/04/2018,9221.868026,657.0577935,14.57726508,0.851596117,0.293538156
28/04/2018,8940.381122,641.9936056,14.21205791,0.813650162,0.289303499
29/04/2018,9249.659525,672.5969368,15.04186939,0.861026768,0.355823307
30/04/2018,9325.628851,680.1204954,14.94758821,0.870640603,0.363050177
1/05/2018,9198.18951,662.7327358,14.24639988,0.835342941,0.341195574
2/05/2018,9024.387512,665.2257861,14.0608648,0.837300127,0.356345365
3/05/2018,9122.653014,676.5525639,14.2493839,0.85539609,0.36946448
4/05/2018,9551.135184,781.4257805,15.44813976,0.887598645,0.371949748
5/05/2018,9634.538226,777.907647,14.2371589,0.893844395,0.358782142
6/05/2018,9766.244485,807.0673292,14.29198537,0.904191805,0.365313191
7/05/2018,9583.871746,785.8927435,13.90045986,0.871525546,0.34903139
